Chambre;Emplacement;RawScan;Nb caisse;Nb bocaux;RawScan-Mani p;Strain;Line;Date;NbSem;AgeAMS;Type;Bocaux;Milieu;Rang;XorEorRori ;Rang/Rang+;Type+Rang;nom_varietes;Batch#;BatchLines;Qualité CHF;;;;0;;;1;< alt+e;;
2;2A51;866120250910E 5 71 ;;8;866120250910E 5;BRAHY;2977;10/09/2025;1;1 sem.;E 5 ;8;E ;5;E;5;E5;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;866120250903E 6 71 ;;6;866120250903E 6;BRAHY;2977;03/09/2025;2;2 sem.;E 6 ;6;E ;6;E;6;E6;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;866120250904EA8 50 ;;5;866120250904EA8;BRAHY;2977;04/09/2025;2;2 sem.;EA8 ;5;EA;8;E;7+;E7+;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;866120250911E 7 71 ;;5;866120250911E 7;BRAHY;2977;11/09/2025;1;1 sem.;E 7 ;5;E ;7;E;7+;E7+;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;866120250829EA6 71 ;;7;866120250829EA6;BRAHY;2977;29/08/2025;2;2 sem.;EA6 ;7;EA;6;E;6;E6;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A51;709220250915E+1318 ;18;7;709220250915E+1;BRAHY;2311;15/09/2025;0;< 1 sem.;E+13;259;E+;13;X;13+;X13+;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
2;2A52;707220250902XM1787 ;22;;707220250902XM1;BRAHY;2306;02/09/2025;2;2 sem.;XM17;308;XM;17;X;13+;X13+;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250904MG3 50 ;;4;866120250904MG3;BRAHY;2977;04/09/2025;2;2 sem.;MG3 ;4;MG;3;BoxE;3;BoxE3;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250909MG3 50 ;;3;707220250909MG3;BRAHY;2306;09/09/2025;1;1 sem.;MG3 ;3;MG;3;BoxE;3;BoxE3;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250908MG3 50 ;;4;707220250908MG3;BRAHY;2306;08/09/2025;1;1 sem.;MG3 ;4;MG;3;BoxE;3;BoxE3;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250827G+2 71 ;;4;866120250827G+2;BRAHY;2977;27/08/2025;3;3 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250826G+2 71 ;;4;707220250826G+2;BRAHY;2306;26/08/2025;3;3 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250826G+2 71 ;;4;707220250826G+2;BRAHY;2306;26/08/2025;3;3 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250826G+2 71 ;;2;707220250826G+2;BRAHY;2306;26/08/2025;3;3 sem.;G+2 ;2;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;709220250829MG1 71 ;;3;709220250829MG1;BRAHY;2311;29/08/2025;2;2 sem.;MG1 ;3;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
2;2A31;866120250902MG3 71 ;;3;866120250902MG3;BRAHY;2977;02/09/2025;2;2 sem.;MG3 ;3;MG;3;BoxE;3;BoxE3;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;866120250904G+4 71 ;;1;866120250904G+4;BRAHY;2977;04/09/2025;2;2 sem.;G+4 ;1;G+;4;BoxE;4;BoxE4;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;866120250902G+2 50 ;;4;866120250902G+2;BRAHY;2977;02/09/2025;2;2 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250902G+2 71 ;;4;707220250902G+2;BRAHY;2306;02/09/2025;2;2 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250902G+2 71 ;;4;707220250902G+2;BRAHY;2306;02/09/2025;2;2 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250902G+2 71 ;;4;707220250902G+2;BRAHY;2306;02/09/2025;2;2 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250904G+2 71 ;;4;866120250904G+2;BRAHY;2977;04/09/2025;2;2 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
